🔄 GitHub GraphQL processing started: 0/1030 repositories (progress every 100)
🔄 GitHub GraphQL processing: 0/1030 repositories processed
🔄 GitHub GraphQL progress: 100/1030 (total_cost=99 avg_cost=1.00 remaining=4670 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 200/1030 (total_cost=198 avg_cost=1.00 remaining=4562 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 300/1030 (total_cost=296 avg_cost=1.00 remaining=4452 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 400/1030 (total_cost=396 avg_cost=1.00 remaining=4360 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 500/1030 (total_cost=496 avg_cost=1.00 remaining=4257 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 600/1030 (total_cost=595 avg_cost=1.00 remaining=4161 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 700/1030 (total_cost=695 avg_cost=1.00 remaining=4058 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 800/1030 (total_cost=793 avg_cost=1.00 remaining=3963 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 900/1030 (total_cost=893 avg_cost=1.00 remaining=3860 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 1000/1030 (total_cost=991 avg_cost=1.00 remaining=3761 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 1030/1030 (total_cost=1021 avg_cost=1.00 remaining=3729 reset=00:35 UTC)
✅ GitHub GraphQL processing completed: 1030/1030 (total_cost=1021 avg_cost=1.00 remaining=3729 reset=00:35 UTC)
STATUS      PURL                                                                RELATION  LIFECYCLE
✅ ok        pkg:npm/%40nlpjs/lang-es@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-eu@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-fa@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-fi@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-fr@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-ga@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-gl@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-hi@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-hu@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-hy@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-id@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-it@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-ja@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-ko@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-lt@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-ms@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-ne@4.26.1                                     direct    Legacy-Safe
